S 352240,4 miss eviction 
S 352340,4 miss eviction 
S 352440,4 miss eviction 
S 352150,4 hit 
S 352250,4 hit 
S 352350,4 hit 
S 352450,4 hit 
L 30f300,4 miss 
L 30f304,4 hit 
L 30f308,4 hit 
L 30f30c,4 hit 
L 30f310,4 hit 
L 30f314,4 hit 
L 30f318,4 hit 
L 30f31c,4 hit 
S 352144,4 hit 
S 352244,4 hit 
S 352344,4 hit 
S 352444,4 hit 
S 352154,4 hit 
S 352254,4 hit 
S 352354,4 hit 
S 352454,4 hit 
L 30f400,4 miss 
L 30f404,4 hit 
L 30f408,4 hit 
L 30f40c,4 hit 
L 30f410,4 hit 
L 30f414,4 hit 
L 30f418,4 hit 
L 30f41c,4 hit 
S 352148,4 hit 
S 352248,4 hit 
S 352348,4 hit 
S 352448,4 hit 
S 352158,4 hit 
S 352258,4 hit 
S 352358,4 hit 
S 352458,4 hit 
L 30f500,4 miss 
L 30f504,4 hit 
L 30f508,4 hit 
L 30f50c,4 hit 
L 30f510,4 hit 
L 30f514,4 hit 
L 30f518,4 hit 
L 30f51c,4 hit 
S 35214c,4 hit 
S 35224c,4 hit 
S 35234c,4 hit 
S 35244c,4 hit 
S 35215c,4 hit 
S 35225c,4 hit 
S 35235c,4 hit 
S 35245c,4 hit 
L 352150,4 hit 
L 352154,4 hit 
L 352158,4 hit 
L 35215c,4 hit 
L 30f600,4 miss eviction 
L 30f700,4 miss eviction 
L 30f800,4 miss eviction 
L 30f900,4 miss eviction 
S 352150,4 hit 
S 352154,4 hit 
S 352158,4 hit 
S 35215c,4 hit 
S 352540,4 miss eviction 
S 352544,4 hit 
S 352548,4 hit 
S 35254c,4 hit 
L 352250,4 hit 
L 352254,4 hit 
L 352258,4 hit 
L 35225c,4 hit 
L 30f604,4 hit 
L 30f704,4 hit 
L 30f804,4 hit 
L 30f904,4 hit 
S 352250,4 hit 
S 352254,4 hit 
S 352258,4 hit 
S 35225c,4 hit 
S 352640,4 miss eviction 
S 352644,4 hit 
S 352648,4 hit 
S 35264c,4 hit 
L 352350,4 hit 
L 352354,4 hit 
L 352358,4 hit 
L 35235c,4 hit 
L 30f608,4 hit 
L 30f708,4 hit 
L 30f808,4 hit 
L 30f908,4 hit 
S 352350,4 hit 
S 352354,4 hit 
S 352358,4 hit 
S 35235c,4 hit 
S 352740,4 miss eviction 
S 352744,4 hit 
S 352748,4 hit 
S 35274c,4 hit 
L 352450,4 hit 
L 352454,4 hit 
L 352458,4 hit 
L 35245c,4 hit 
L 30f60c,4 hit 
L 30f70c,4 hit 
L 30f80c,4 hit 
L 30f90c,4 hit 
S 352450,4 hit 
S 352454,4 hit 
S 352458,4 hit 
S 35245c,4 hit 
S 352840,4 miss eviction 
S 352844,4 hit 
S 352848,4 hit 
S 35284c,4 hit 
L 30f610,4 hit 
L 30f710,4 hit 
L 30f810,4 hit 
L 30f910,4 hit 
S 352550,4 hit 
S 352554,4 hit 
S 352558,4 hit 
S 35255c,4 hit 
L 30f614,4 hit 
L 30f714,4 hit 
